date,week_type,local_holiday,special_event,affected_status
2020-01-01,Weekday,True,False,Local Holiday
2020-01-02,Weekday,False,True,Special Event
2020-01-03,Weekday,False,False,
2020-01-04,Weekend,False,False,Weekend
2020-01-05,Weekend,False,False,Weekend
2020-01-06,Weekday,False,False,
2020-01-07,Weekday,False,False,
2020-01-08,Weekday,False,False,
2020-01-09,Weekday,False,False,
2020-01-10,Weekday,False,False,
2020-01-11,Weekend,False,False,Weekend
2020-01-12,Weekend,False,False,Weekend
2020-01-13,Weekday,False,False,
2020-01-14,Weekday,False,False,
2020-01-15,Weekday,False,False,
2020-01-16,Weekday,False,False,
2020-01-17,Weekday,False,False,
2020-01-18,Weekend,False,False,Weekend
2020-01-19,Weekend,False,False,Weekend
2020-01-20,Weekday,False,False,
2020-01-21,Weekday,False,False,
2020-01-22,Weekday,False,False,
2020-01-23,Weekday,False,False,
2020-01-24,Weekday,False,False,
2020-01-25,Weekend,False,False,Weekend
2020-01-26,Weekend,False,False,Weekend
2020-01-27,Weekday,False,False,
2020-01-28,Weekday,False,False,
2020-01-29,Weekday,False,False,
2020-01-30,Weekday,False,False,
2020-01-31,Weekday,False,False,
2020-02-01,Weekend,False,False,Weekend
2020-02-02,Weekend,False,False,Weekend
2020-02-03,Weekday,False,False,
2020-02-04,Weekday,False,False,
2020-02-05,Weekday,False,False,
2020-02-06,Weekday,False,False,
2020-02-07,Weekday,False,False,
2020-02-08,Weekend,False,False,Weekend
2020-02-09,Weekend,False,False,Weekend
2020-02-10,Weekday,False,False,
2020-02-11,Weekday,False,False,
2020-02-12,Weekday,False,False,
2020-02-13,Weekday,False,False,
2020-02-14,Weekday,False,False,
2020-02-15,Weekend,False,False,Weekend
2020-02-16,Weekend,False,False,Weekend
2020-02-17,Weekday,False,False,
2020-02-18,Weekday,False,False,
2020-02-19,Weekday,False,False,
2020-02-20,Weekday,False,False,
2020-02-21,Weekday,False,False,
2020-02-22,Weekend,False,False,Weekend
2020-02-23,Weekend,False,False,Weekend
2020-02-24,Weekday,False,True,Special Event
2020-02-25,Weekday,False,True,Special Event
2020-02-26,Weekday,False,True,Special Event
2020-02-27,Weekday,False,False,
2020-02-28,Weekday,False,False,
2020-02-29,Weekend,False,False,Weekend
2020-03-01,Weekend,False,True,"Special Event, Weekend"
2020-03-02,Weekday,False,False,
2020-03-03,Weekday,False,False,
2020-03-04,Weekday,False,False,
2020-03-05,Weekday,False,False,
2020-03-06,Weekday,False,False,
2020-03-07,Weekend,False,False,Weekend
2020-03-08,Weekend,False,False,Weekend
2020-03-09,Weekday,False,False,
2020-03-10,Weekday,False,False,
2020-03-11,Weekday,False,False,
2020-03-12,Weekday,False,False,
2020-03-13,Weekday,False,False,
2020-03-14,Weekend,False,False,Weekend
2020-03-15,Weekend,False,True,"Special Event, Weekend"
2020-03-16,Weekday,False,False,
2020-03-17,Weekday,False,False,
2020-03-18,Weekday,False,False,
2020-03-19,Weekday,False,False,
2020-03-20,Weekday,False,False,
2020-03-21,Weekend,False,False,Weekend
2020-03-22,Weekend,False,False,Weekend
2020-03-23,Weekday,False,False,
2020-03-24,Weekday,False,False,
2020-03-25,Weekday,False,False,
2020-03-26,Weekday,False,False,
2020-03-27,Weekday,False,False,
2020-03-28,Weekend,False,False,Weekend
