station_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,short_name,nearby_distance,_ride_code_support,rental_uris,is_valet_station
1,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801069,16.0,"GRAN VIA CORTS CATALANES, 760",02-Eixample/05-el Fort Pienc,08013,46,True,1,1000.0,True,,
2,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.3954877,2.1771985,17.0,"C/ ROGER DE FLOR, 126",02-Eixample/05-el Fort Pienc,08013,29,True,2,1000.0,True,,
3,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.3941557,2.1813305,11.0,"C/ NÀPOLS, 82",02-Eixample/05-el Fort Pienc,08013,27,True,3,1000.0,True,,
4,"C/ RIBES, 13",ELECTRICBIKESTATION,41.3933173,2.1812483,8.0,"C/ RIBES, 13",02-Eixample/05-el Fort Pienc,08013,21,True,4,1000.0,True,,
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",ELECTRICBIKESTATION,41.3911035,2.1801763,7.0,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",08018,39,True,5,1000.0,True,,
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",ELECTRICBIKESTATION,41.3914292,2.1805685,10.0,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",08018,39,True,6,1000.0,True,,
7,"PG. PUJADES,  1 (JUTJATS)",ELECTRICBIKESTATION,41.388885,2.18329,6.0,"PG. PUJADES,  1 (JUTJATS)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",08003,27,True,7,1000.0,True,,
8,"PG. PUJADES, 2",ELECTRICBIKESTATION,41.389135,2.183489,6.0,"PG. PUJADES, 2","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",08003,27,True,8,1000.0,True,,
9,"AV. MARQUÉS DE L'ARGENTERA,13",ELECTRICBIKESTATION,41.384546,2.184922,5.0,"AV. MARQUÉS DE L'ARGENTERA,13","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",08003,27,True,9,1000.0,True,,
10,"C/ 60, NÚMERO 25",ELECTRICBIKESTATION,41.3467746,2.1436235,,"C/ 60, NÚMERO 25",03-Sants-Montjuïc/12-la Marina del Prat Vermell,08040,43,True,10,1000.0,True,,
