station_id,altitude,is_charging_station,nearest_station_id,nearest_station_distance,stations_within_100m,stations_within_300m,stations_within_500m
1,16.0,True,119,244.84817525194146,0,4,10
2,17.0,True,387,130.33430987470555,0,4,10
3,11.0,True,4,93.36741372544465,1,2,12
4,8.0,True,3,93.36741372544465,1,5,11
5,7.0,True,418,6.9439765703004435,3,5,12
6,10.0,True,419,26.052740760820594,3,5,10
7,6.0,True,8,32.371907490611655,1,2,10
8,6.0,True,7,32.371907490611655,1,2,10
9,5.0,True,14,35.79454655634145,1,3,10
10,,True,437,520.0342820387586,0,0,0
11,,True,12,110.95047126050721,0,5,6
12,7.0,True,125,15.26892170378576,1,5,6
13,7.0,True,69,56.85651511426537,1,4,10
14,5.0,True,9,35.79454655634145,1,3,9
15,25.0,True,23,255.50407285205023,0,5,14
17,14.0,True,48,248.13382922188447,0,2,6
18,38.0,True,496,147.0146707284827,0,4,10
19,40.0,True,370,198.69505820260994,0,3,8
20,46.0,True,21,151.9806813585834,0,2,8
21,52.0,True,20,151.9806813585834,0,2,5
22,28.0,True,369,256.32190876015744,0,2,8
23,21.0,True,413,140.9605367148052,0,3,12
24,23.0,True,369,88.02682772324495,1,2,10
25,29.0,True,61,239.74381114183564,0,3,10
26,22.0,True,121,306.1647442382243,0,0,6
27,38.0,True,189,132.26426565390815,0,2,11
28,46.0,True,370,254.98999964347752,0,4,10
29,34.0,True,19,242.64689201601215,0,1,8
30,13.0,True,218,206.5296875456904,0,3,6
31,4.0,True,542,39.112899053783714,1,2,3
32,4.0,True,542,97.12327850772111,1,2,5
34,9.0,True,380,218.61075523468287,0,5,12
35,5.0,True,157,246.2354193290227,0,3,5
36,8.0,True,77,77.24022755053468,1,4,8
37,4.0,True,402,10.398738577625982,2,3,9
39,4.0,True,40,149.54741897455182,0,2,11
40,6.0,True,39,149.54741897455182,0,3,12
41,5.0,True,446,192.7867211259257,0,2,5
42,4.0,True,286,206.14638749640395,0,2,6
43,13.0,True,42,291.599208069529,0,1,9
45,5.0,True,392,148.17498950469115,0,4,8
46,7.0,True,408,44.800954319912115,1,5,11
47,5.0,True,392,39.67327465575488,1,5,9
48,11.0,True,447,218.7910531439444,0,2,7
49,5.0,True,117,75.66472922502032,1,2,10
50,8.0,True,232,187.45341595813272,0,4,11
51,12.0,True,395,216.1403277724506,0,4,14
52,11.0,True,378,355.06101746177126,0,0,10
53,10.0,True,380,35.91726872808905,1,4,15
54,6.0,True,187,105.10159980580084,0,5,13
56,5.0,True,425,98.52760901967746,1,6,9
57,4.0,True,56,126.60258109353778,0,6,7
58,11.0,True,381,126.7079974948341,0,4,12
59,,True,381,40.54023932041284,1,4,10
60,27.0,True,494,117.34507506090303,0,1,9
61,26.0,True,25,239.74381114183564,0,3,11
62,19.0,True,64,35.45250114007152,3,6,16
63,19.0,True,395,87.00495418371021,2,5,15
64,21.0,True,62,35.45250114007152,2,6,15
65,20.0,True,64,53.927165433890394,2,6,15
66,23.0,True,287,29.851505558087222,1,6,14
67,37.0,True,75,217.13223172869107,0,2,8
